Tool	Rank	Precision	Sensitivity
Kraken2	Genus	0.949	0.708
Kraken2	Species	0.486	0.351
KrakenUniq	Genus	0.951	0.681
KrakenUniq	Species	0.490	0.343
Centrifuge	Genus	0.901	0.696
Centrifuge	Species	0.472	0.340
Kaiju	Genus	0.941	0.678
Kaiju	Species	0.478	0.234
Kraken2X	Genus	0.928	0.642
Kraken2X	Species	0.449	0.204
MMseqs2	Genus	0.957	0.496
MMseqs2	Species	0.492	0.100
Metabuli	Genus	0.971	0.740
Metabuli	Species	0.702	0.273
